antecedent,consequent,fitness,support,confidence,lift,coverage,rhs_support,conviction,amplitude,inclusion,interestingness,comprehensibility,netconf,yulesq
[Length(interval_4)],[Height(interval_1)],0.7432082941075957,0.49221929614555904,0.9941972920696325,1.0001835474409573,0.4950921714148911,0.9940148431888916,1.03144202378098,1.0,0.2222222222222222,0.4922516277790918,0.6309297535714574,0.000361350865270225,0.03037779491133385
"[Length(interval_4), Rings(interval_2)]",[Height(interval_1)],0.6913811654941324,0.3840076610007182,0.9987546699875467,1.0047683662182039,0.3844864735456069,0.9940148431888916,4.806080919319209,1.0,0.3333333333333333,0.3858032785199969,0.5,0.007700605421230143,0.7572639801848147
"[Diameter(interval_4), Length(interval_4), Viscera weight(interval_2)]",[Height(interval_1)],0.6720417832440398,0.34953315776873356,0.9945504087193461,1.0005387902747371,0.35144840794828824,0.9940148431888916,1.0982762748383619,1.0,0.4444444444444444,0.34969221799063477,0.43067655807339306,0.0008257870877477337,0.07084304081456554
"[Shucked weight(interval_2), Length(interval_4), Diameter(interval_4)]",[Height(interval_1)],0.6702669371744521,0.3473785013167345,0.9931553730321697,0.9991353548062073,0.3497725640411779,0.9940148431888916,0.8744314101029126,1.0,0.4444444444444444,0.34704927755301457,0.43067655807339306,-0.001321799280054276,-0.10753459764223475
"[Length(interval_4), Height(interval_1)]",[Diameter(interval_4)],0.657563561433792,0.43380416566914054,0.8813229571984436,1.8868713440378773,0.49221929614555904,0.4670816375389035,4.4904924312295575,1.0,0.3333333333333333,0.818447640058345,0.5,0.8157878322573776,0.9812892726119218
"[Length(interval_4), Sex(M)]",[Height(interval_1)],0.6064750367364797,0.22049317692123532,0.9924568965517241,0.998432672662946,0.2221690208283457,0.9940148431888916,0.7934607886726345,1.0,0.3333333333333333,0.2201359709075019,0.5,-0.0020029372432897054,-0.15407577497129735
"[Sex(M), Length(interval_4)]",[Height(interval_1)],0.6064750367364797,0.22049317692123532,0.9924568965517241,0.998432672662946,0.2221690208283457,0.9940148431888916,0.7934607886726345,1.0,0.3333333333333333,0.2201359709075019,0.5,-0.0020029372432897054,-0.15407577497129735
[Viscera weight(interval_2)],[Shell weight(interval_2)],0.5894784317080788,0.35144840794828824,0.8275084554678692,1.8424855109217961,0.4247067273162557,0.4491261671055782,3.1936280377604676,1.0,0.2222222222222222,0.6474841162612698,0.6309297535714574,0.6577206901744856,0.9182265119331602
"[Shell weight(interval_2), Length(interval_4)]","[Viscera weight(interval_2), Height(interval_1)]",0.5771815394225199,0.32942303088340913,0.8249400479616307,1.9522802154876664,0.39932966243715584,0.42255207086425667,3.2985724171178714,1.0,0.4444444444444444,0.6430753449780271,0.6826061944859854,0.6698981986192629,0.9250419373954865
"[Shucked weight(interval_2), Diameter(interval_4)]","[Viscera weight(interval_2), Length(interval_4)]",0.5708681800239086,0.30093368446253294,0.8408026755852843,2.1950204849498327,0.3579123773042854,0.3830500359109409,3.87537897610564,1.0,0.4444444444444444,0.6605080120064247,0.6826061944859854,0.7129130409842401,0.9459691828297245
[Shell weight(interval_2)],[Viscera weight(interval_2)],0.5669821997097517,0.35144840794828824,0.7825159914712153,1.8424855109217961,0.4491261671055782,0.4247067273162557,2.6452210283203503,1.0,0.2222222222222222,0.6474841162612698,0.6309297535714574,0.6495303330618278,0.9182265119331602
"[Length(interval_3), Sex(I)]",[Viscera weight(interval_1)],0.5577248549779512,0.14699545128082356,0.9684542586750788,2.2056888977567093,0.15178357672971032,0.43907110366291596,17.78144601388542,1.0,0.3333333333333333,0.3242148248601632,0.5,0.6241133046812881,0.9663615772008697
"[Length(interval_4), Shucked weight(interval_3)]",[Height(interval_1)],0.5326186889846514,0.06870960019152501,0.9965277777777778,1.0025280654570756,0.06894900646396936,0.9940148431888916,1.7237251615991294,1.0,0.3333333333333333,0.06888216946181518,0.5,0.0026990300277134373,0.281130847205431
"[Length(interval_4), Diameter(interval_4), Sex(I)]",[Height(interval_1)],0.5278908307397654,0.055781661479530766,1.0,1.0060211946050097,0.055781661479530766,0.9940148431888916,26954749984262.0,1.0,0.4444444444444444,0.05611678429822799,0.43067655807339306,0.006338742393509167,1.0
"[Viscera weight(interval_1), Length(interval_4)]",[Height(interval_1)],0.5241800335168781,0.04836006703375628,1.0,1.0060211946050097,0.04836006703375628,0.9940148431888916,26954749984262.0,1.0,0.3333333333333333,0.04865068913870821,0.5,0.00628930817610068,1.0
"[Viscera weight(interval_3), Length(interval_5), Diameter(interval_4)]",[Height(interval_1)],0.5083792195355519,0.016758439071103665,1.0,1.0060211946050097,0.016758439071103665,0.9940148431888916,26954749984262.0,1.0,0.4444444444444444,0.016859277253063562,0.43067655807339306,0.006087168249330497,1.0
"[Length(interval_5), Shell weight(interval_3), Diameter(interval_5)]",[Height(interval_1)],0.5082224084271008,0.04644481685420158,0.97,0.9758405587668593,0.04788125448886761,0.9940148431888916,0.19950522703694668,1.0,0.4444444444444444,0.045322232079146846,0.43067655807339306,-0.025222529544883188,-0.7312823503681563
"[Diameter(interval_5), Viscera weight(interval_4), Shucked weight(interval_4)]",[Length(interval_5)],0.5033516878142207,0.006703375628441465,1.0,11.8328611898017,0.006703375628441465,0.08451041417285132,4122998557592716.5,1.0,0.4444444444444444,0.07931998601913649,0.43067655807339306,0.9216678717763315,1.0
[Whole weight(interval_5)],[Length(interval_5)],0.5026334689968878,0.005266937993775437,1.0,11.8328611898017,0.005266937993775437,0.08451041417285132,4122998557592716.5,1.0,0.2222222222222222,0.06232286759026678,0.6309297535714574,0.9203369434416363,1.0
"[Viscera weight(interval_3), Shell weight(interval_4), Diameter(interval_5)]",[Length(interval_5)],0.5021546564519991,0.004309312903998085,1.0,11.8328611898017,0.004309312903998085,0.08451041417285132,4122998557592716.5,1.0,0.4444444444444444,0.050991448809694896,0.43067655807339306,0.9194517912959845,1.0
"[Diameter(interval_5), Viscera weight(interval_3), Shell weight(interval_4)]",[Length(interval_5)],0.5021546564519991,0.004309312903998085,1.0,11.8328611898017,0.004309312903998085,0.08451041417285132,4122998557592716.5,1.0,0.4444444444444444,0.050991448809694896,0.43067655807339306,0.9194517912959845,1.0
"[Diameter(interval_5), Whole weight(interval_5), Shell weight(interval_4)]",[Length(interval_5)],0.5015561407708882,0.0031122815417763947,1.0,11.8328611898017,0.0031122815417763947,0.08451041417285132,4122998557592716.5,1.0,0.4444444444444444,0.03682716802748897,0.43067655807339306,0.9183477425552351,1.0
"[Diameter(interval_5), Shucked weight(interval_4), Whole weight(interval_5)]",[Length(interval_5)],0.501436437634666,0.0028728752693320567,1.0,11.832861189801699,0.0028728752693320567,0.08451041417285132,4122998557592716.5,1.0,0.4444444444444444,0.03399431089684897,0.43067655807339306,0.9181272509003598,1.0
"[Diameter(interval_5), Shell weight(interval_4), Whole weight(interval_5), Height(interval_1)]",[Length(interval_5)],0.5013167344984438,0.0026334689968877186,1.0,11.8328611898017,0.0026334689968877186,0.08451041417285132,4122998557592716.5,1.0,0.5555555555555556,0.031161453441476042,0.3868528072345416,0.9179068650984156,1.0
"[Shucked weight(interval_4), Length(interval_5), Shell weight(interval_4), Viscera weight(interval_4)]",[Height(interval_1)],0.500718218817333,0.0014364376346660283,1.0,1.0060211946050095,0.0014364376346660283,0.9940148431888916,26954749984262.0,1.0,0.5555555555555556,0.0014450862082482953,0.3868528072345416,0.005993766482857787,1.0
"[Diameter(interval_5), Shucked weight(interval_3), Length(interval_5)]",[Height(interval_1)],0.5006204125962734,0.03782619104620541,0.9634146341463414,0.9692155411438508,0.039262628680871436,0.9940148431888916,0.16359428617029648,1.0,0.4444444444444444,0.03666140022193948,0.43067655807339306,-0.03185075334431382,-0.7773492546169251
"[Length(interval_5), Diameter(interval_5), Shucked weight(interval_3)]",[Height(interval_1)],0.5006204125962734,0.03782619104620541,0.9634146341463414,0.9692155411438508,0.039262628680871436,0.9940148431888916,0.16359428617029648,1.0,0.4444444444444444,0.03666140022193948,0.43067655807339306,-0.03185075334431382,-0.7773492546169251
"[Whole weight(interval_2), Rings(interval_4), Shell weight(interval_3)]",[Diameter(interval_4)],0.5005985156811108,0.0011970313622216902,1.0,2.1409533572526906,0.0011970313622216902,0.4670816375389035,2400050938598689.0,1.0,0.4444444444444444,0.0025627875792495736,0.43067655807339306,0.5335570469798657,1.0
"[Diameter(interval_5), Whole weight(interval_5), Shucked weight(interval_4), Viscera weight(interval_3)]",[Length(interval_5)],0.5003591094086665,0.0007182188173330142,1.0,11.832861189801699,0.0007182188173330142,0.08451041417285132,4122998557592716.5,1.0,0.5555555555555556,0.008498582108106886,0.3868528072345416,0.9161475802587443,1.0
"[Diameter(interval_5), Viscera weight(interval_3), Whole weight(interval_5), Shucked weight(interval_4)]",[Length(interval_5)],0.5003591094086665,0.0007182188173330142,1.0,11.832861189801699,0.0007182188173330142,0.08451041417285132,4122998557592716.5,1.0,0.5555555555555556,0.008498582108106886,0.3868528072345416,0.9161475802587443,1.0
"[Whole weight(interval_4), Sex(I)]",[Viscera weight(interval_3)],0.5002394062724443,0.00047881254488867607,1.0,8.190196078431372,0.00047881254488867607,0.1220971989466124,3953722727691551.0,1.0,0.3333333333333333,0.003921568177918719,0.5,0.878323353293413,1.0
"[Shell weight(interval_5), Viscera weight(interval_3), Sex(F)]","[Length(interval_5), Whole weight(interval_4)]",0.5002394062724443,0.00047881254488867607,1.0,25.315151515151513,0.00047881254488867607,0.03950203495331578,4325698277474367.0,1.0,0.5555555555555556,0.012121210731748768,0.6131471927654585,0.9609580838323352,1.0
"[Length(interval_4), Diameter(interval_5), Shell weight(interval_5)]",[Whole weight(interval_4)],0.5002394062724443,0.00047881254488867607,1.0,22.336898395721924,0.00047881254488867607,0.044768972947091215,4301978097488216.0,1.0,0.4444444444444444,0.010695185939778324,0.43067655807339306,0.9556886227544908,1.0
"[Viscera weight(interval_2), Shell weight(interval_4), Length(interval_5)]",[Height(interval_1)],0.5002394062724443,0.00047881254488867607,1.0,1.0060211946050097,0.00047881254488867607,0.9940148431888916,26954749984262.0,1.0,0.4444444444444444,0.0004816955131836577,0.43067655807339306,0.005988023952095806,1.0
"[Diameter(interval_5), Whole weight(interval_5), Shell weight(interval_4), Shucked weight(interval_3)]",[Length(interval_5)],0.5002394062724443,0.00047881254488867607,1.0,11.8328611898017,0.00047881254488867607,0.08451041417285132,4122998557592716.5,1.0,0.5555555555555556,0.005665721730137527,0.3868528072345416,0.9159281437125747,1.0
"[Length(interval_5), Diameter(interval_5), Shell weight(interval_5), Height(interval_1)]",[Whole weight(interval_4)],0.5002394062724443,0.00047881254488867607,1.0,22.336898395721924,0.00047881254488867607,0.044768972947091215,4301978097488216.0,1.0,0.5555555555555556,0.010695185939778324,0.3868528072345416,0.9556886227544908,1.0
"[Viscera weight(interval_3), Diameter(interval_3)]",[Whole weight(interval_3)],0.5002394062724443,0.00047881254488867607,1.0,4.630820399113082,0.00047881254488867607,0.2159444577447929,3531072247938323.0,1.0,0.3333333333333333,0.002217294646051604,0.5,0.7844311377245508,1.0
"[Length(interval_4), Viscera weight(interval_4)]",[Height(interval_1)],0.5002394062724443,0.00047881254488867607,1.0,1.0060211946050097,0.00047881254488867607,0.9940148431888916,26954749984262.0,1.0,0.3333333333333333,0.0004816955131836577,0.5,0.005988023952095806,1.0
"[Length(interval_4), Viscera weight(interval_4), Diameter(interval_4)]",[Height(interval_1)],0.5002394062724443,0.00047881254488867607,1.0,1.0060211946050097,0.00047881254488867607,0.9940148431888916,26954749984262.0,1.0,0.4444444444444444,0.0004816955131836577,0.43067655807339306,0.005988023952095806,1.0
"[Viscera weight(interval_4), Length(interval_4), Shell weight(interval_3)]","[Diameter(interval_4), Height(interval_1)]",0.5002394062724443,0.00047881254488867607,1.0,2.1519835136527563,0.00047881254488867607,0.46468757481446016,2410832838592394.0,1.0,0.5555555555555556,0.0010303965846154284,0.6131471927654585,0.535568862275449,1.0
"[Length(interval_4), Viscera weight(interval_4)]","[Diameter(interval_4), Height(interval_1)]",0.5002394062724443,0.00047881254488867607,1.0,2.1519835136527563,0.00047881254488867607,0.46468757481446016,2410832838592394.0,1.0,0.4444444444444444,0.0010303965846154284,0.6826061944859854,0.535568862275449,1.0
"[Viscera weight(interval_4), Length(interval_4)]",[Diameter(interval_4)],0.5002394062724443,0.00047881254488867607,1.0,2.140953357252691,0.00047881254488867607,0.4670816375389035,2400050938598689.0,1.0,0.3333333333333333,0.0010251152079644012,0.5,0.5331736526946107,1.0
[Height(interval_3)],"[Sex(M), Length(interval_5), Diameter(interval_5)]",0.5001197031362221,0.00023940627244433804,1.0,35.10084033613445,0.00023940627244433804,0.02848934642087623,4375295017445409.0,1.0,0.4444444444444444,0.008403360862896107,0.8613531161467861,0.9717432950191569,1.0
"[Diameter(interval_5), Height(interval_3)]",[Length(interval_5)],0.5001197031362221,0.00023940627244433804,1.0,11.8328611898017,0.00023940627244433804,0.08451041417285132,4122998557592716.5,1.0,0.3333333333333333,0.002832861027435232,0.5,0.9157088122605362,1.0
"[Length(interval_5), Height(interval_3), Shell weight(interval_3)]",[Diameter(interval_5)],0.5001197031362221,0.00023940627244433804,1.0,14.016778523489931,0.00023940627244433804,0.07134306918841274,4182299007558093.0,1.0,0.4444444444444444,0.0033557045056531436,0.43067655807339306,0.9288793103448274,1.0
"[Shell weight(interval_3), Height(interval_3)]","[Diameter(interval_5), Length(interval_5)]",0.5001197031362221,0.00023940627244433804,1.0,16.31640625,0.00023940627244433804,0.06128800574575054,4227582987531653.0,1.0,0.4444444444444444,0.0039062497761118624,0.6826061944859854,0.9389367816091952,1.0
"[Shell weight(interval_5), Shucked weight(interval_4)]","[Length(interval_5), Viscera weight(interval_3)]",0.5001197031362221,0.00023940627244433804,1.0,16.979674796747965,0.00023940627244433804,0.05889394302130716,4238364887525358.0,1.0,0.4444444444444444,0.004065040417417222,0.6826061944859854,0.9413314176245209,1.0
"[Shell weight(interval_5), Whole weight(interval_5), Viscera weight(interval_3)]",[Length(interval_5)],0.5001197031362221,0.00023940627244433804,1.0,11.8328611898017,0.00023940627244433804,0.08451041417285132,4122998557592716.5,1.0,0.4444444444444444,0.002832861027435232,0.43067655807339306,0.9157088122605362,1.0
"[Diameter(interval_5), Shucked weight(interval_4), Shell weight(interval_5), Height(interval_2)]",[Length(interval_5)],0.5001197031362221,0.00023940627244433804,1.0,11.8328611898017,0.00023940627244433804,0.08451041417285132,4122998557592716.5,1.0,0.5555555555555556,0.002832861027435232,0.3868528072345416,0.9157088122605362,1.0
"[Length(interval_5), Whole weight(interval_4), Sex(I)]",[Viscera weight(interval_3)],0.5001197031362221,0.00023940627244433804,1.0,8.190196078431372,0.00023940627244433804,0.1220971989466124,3953722727691551.0,1.0,0.4444444444444444,0.001960784201342425,0.43067655807339306,0.8781130268199232,1.0
"[Shucked weight(interval_4), Shell weight(interval_5), Height(interval_2), Diameter(interval_5)]",[Length(interval_5)],0.5001197031362221,0.00023940627244433804,1.0,11.8328611898017,0.00023940627244433804,0.08451041417285132,4122998557592716.5,1.0,0.5555555555555556,0.002832861027435232,0.3868528072345416,0.9157088122605362,1.0
"[Sex(I), Shell weight(interval_4), Length(interval_5)]","[Viscera weight(interval_3), Diameter(interval_5)]",0.5001197031362221,0.00023940627244433804,1.0,21.095959595959595,0.00023940627244433804,0.04740244194397893,4290118007495141.0,1.0,0.5555555555555556,0.005050504761033518,0.6131471927654585,0.9528256704980841,1.0
"[Diameter(interval_5), Shucked weight(interval_4), Length(interval_5), Shell weight(interval_5)]",[Height(interval_2)],0.5001197031362221,0.00023940627244433804,1.0,181.6086956521739,0.00023940627244433804,0.005506344266219775,4478801257384975.0,1.0,0.5555555555555556,0.0434782583775929,0.3868528072345416,0.9947318007662833,1.0
